year,month,date_of_month,day_of_week,births,date
2001,8,15,3,13332,8/15/2001
2001,8,16,4,13372,8/16/2001
2001,8,17,5,13102,8/17/2001
2001,8,18,6,9294,8/18/2001
2001,8,19,7,7945,8/19/2001
2001,8,20,1,12313,8/20/2001
2001,8,21,2,13590,8/21/2001
2001,8,22,3,13146,8/22/2001
2001,8,23,4,13158,8/23/2001
2001,8,24,5,12996,8/24/2001
2001,8,25,6,9229,8/25/2001
2001,8,26,7,8115,8/26/2001
2001,8,27,1,12080,8/27/2001
2001,8,28,2,13792,8/28/2001
2001,8,29,3,13160,8/29/2001
2001,8,30,4,13520,8/30/2001
2001,8,31,5,13461,8/31/2001
2001,9,1,6,9248,9/1/2001
2001,9,2,7,8239,9/2/2001
2001,9,3,1,8115,9/3/2001
2001,9,4,2,12501,9/4/2001
2001,9,5,3,14055,9/5/2001
2001,9,6,4,13925,9/6/2001
2001,9,7,5,13721,9/7/2001
2001,9,8,6,9344,9/8/2001
2001,9,9,7,8347,9/9/2001
2001,9,10,1,12459,9/10/2001
2001,9,11,2,13590,9/11/2001
2001,9,12,3,13149,9/12/2001
2001,9,13,4,13186,9/13/2001
2001,9,14,5,13444,9/14/2001
2001,9,15,6,9662,9/15/2001
2001,9,16,7,8319,9/16/2001
2001,9,17,1,12664,9/17/2001
2001,9,18,2,13526,9/18/2001
2001,9,19,3,13575,9/19/2001
2001,9,20,4,13750,9/20/2001
2001,9,21,5,13341,9/21/2001
2001,9,22,6,9607,9/22/2001
2001,9,23,7,8495,9/23/2001
2001,9,24,1,12564,9/24/2001
2001,9,25,2,14063,9/25/2001
2001,9,26,3,13441,9/26/2001
2001,9,27,4,13199,9/27/2001
2001,9,28,5,13174,9/28/2001
2001,9,29,6,9243,9/29/2001
2001,9,30,7,8042,9/30/2001
2001,10,1,1,12425,10/1/2001
2001,10,2,2,13523,10/2/2001
2001,10,3,3,13056,10/3/2001
2001,10,4,4,13182,10/4/2001
2001,10,5,5,12851,10/5/2001
2001,10,6,6,8872,10/6/2001
2001,10,7,7,7744,10/7/2001
2001,10,8,1,11531,10/8/2001
2001,10,9,2,12886,10/9/2001
2001,10,10,3,12858,10/10/2001
2001,10,11,4,12568,10/11/2001
2001,10,12,5,12676,10/12/2001
2001,10,13,6,8659,10/13/2001
2001,10,14,7,7753,10/14/2001
2001,10,15,1,11649,10/15/2001
2001,10,16,2,12770,10/16/2001
2001,10,17,3,12599,10/17/2001
2001,10,18,4,12579,10/18/2001
2001,10,19,5,12359,10/19/2001
2001,10,20,6,8747,10/20/2001
2001,10,21,7,7506,10/21/2001
2001,10,22,1,11705,10/22/2001
2001,10,23,2,12896,10/23/2001
2001,10,24,3,12676,10/24/2001
2001,10,25,4,12516,10/25/2001
2001,10,26,5,12296,10/26/2001
2001,10,27,6,8458,10/27/2001
2001,10,28,7,7676,10/28/2001
2001,10,29,1,11389,10/29/2001
2001,10,30,2,12534,10/30/2001
2001,10,31,3,10913,10/31/2001
2001,11,1,4,12879,11/1/2001
2001,11,2,5,12374,11/2/2001
2001,11,3,6,8572,11/3/2001
2001,11,4,7,7533,11/4/2001
2001,11,5,1,11668,11/5/2001
2001,11,6,2,12662,11/6/2001
2001,11,7,3,12419,11/7/2001
2001,11,8,4,12519,11/8/2001
2001,11,9,5,12416,11/9/2001
2001,11,10,6,8665,11/10/2001
2001,11,11,7,7599,11/11/2001
2001,11,12,1,11670,11/12/2001
2001,11,13,2,12382,11/13/2001
2001,11,14,3,12602,11/14/2001
2001,11,15,4,12936,11/15/2001
2001,11,16,5,12979,11/16/2001
2001,11,17,6,8774,11/17/2001
2001,11,18,7,7495,11/18/2001
2001,11,19,1,12709,11/19/2001
2001,11,20,2,13603,11/20/2001
2001,11,21,3,12167,11/21/2001
2001,11,22,4,7513,11/22/2001
2001,11,23,5,9594,11/23/2001
2001,11,24,6,8100,11/24/2001
2001,11,25,7,7456,11/25/2001
2001,11,26,1,11732,11/26/2001
2001,11,27,2,13249,11/27/2001
2001,11,28,3,12516,11/28/2001
2001,11,29,4,12474,11/29/2001
2001,11,30,5,12019,11/30/2001
2001,12,1,6,8255,12/1/2001
2001,12,2,7,7385,12/2/2001
2001,12,3,1,11548,12/3/2001
2001,12,4,2,12605,12/4/2001
2001,12,5,3,12609,12/5/2001
2001,12,6,4,12188,12/6/2001
2001,12,7,5,11693,12/7/2001
2001,12,8,6,8372,12/8/2001
2001,12,9,7,7498,12/9/2001
2001,12,10,1,11655,12/10/2001
2001,12,11,2,12798,12/11/2001
2001,12,12,3,12884,12/12/2001
2001,12,13,4,12230,12/13/2001
2001,12,14,5,12405,12/14/2001
